"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu05219","Bladder cancer",39,4,11,0.628680456099688,0.000895934704763766
"mmu05220","Chronic myeloid leukemia",75,7,12,0.724284118059372,0.056611311253206
"mmu05221","Acute myeloid leukemia",61,7,11,0.504408326111384,0.0312376258007734
"mmu05222","Small cell lung cancer",89,9,15,0.646686903637539,0.0236959376995452
"mmu05223","Non-small cell lung cancer",71,11,13,0.147294067976406,0.0180094391417919
"mmu05224","Breast cancer",124,12,26,0.713480211108728,0.000123221604993153
"mmu05225","Hepatocellular carcinoma",152,11,28,0.951259473081759,0.000662460623194934
"mmu05226","Gastric cancer",123,12,25,0.702927353532062,0.000274701446743667
"mmu05230","Central carbon metabolism in cancer",59,13,10,0.0099319622926883,0.0561207115311639
"mmu05231","Choline metabolism in cancer",92,14,14,0.125221966482965,0.0596831313593076
"mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",77,9,11,0.46713809523107,0.123648771647222
"mmu05310","Asthma",13,0,1,1,0.734838371082804
"mmu05320","Autoimmune thyroid disease",34,8,1,0.0270463704072536,0.969012041834298
"mmu05321","Inflammatory bowel disease",47,3,6,0.899855039508639,0.30317134256413
"mmu05322","Systemic lupus erythematosus",67,19,3,6.6764892987948e-05,0.964128364181362
"mmu05323","Rheumatoid arthritis",69,9,10,0.338264214222779,0.128477885341138
"mmu05330","Allograft rejection",33,7,1,0.0617979532505181,0.965674336589692
"mmu05332","Graft-versus-host disease",34,7,1,0.0708076228765496,0.969012041834298
"mmu05340","Primary immunodeficiency",22,2,2,0.709605249050767,0.644018058887673
"mmu05410","Hypertrophic cardiomyopathy",81,8,15,0.670843833993469,0.0104620536154462
"mmu05412","Arrhythmogenic right ventricular cardiomyopathy",70,7,16,0.654044655216409,0.000896562230024962
"mmu05414","Dilated cardiomyopathy",83,8,14,0.697583045337258,0.0280520679250469
"mmu05415","Diabetic cardiomyopathy",189,23,13,0.321882247071176,0.931518336703258
"mmu05416","Viral myocarditis",66,11,6,0.100638406147647,0.628004915766112
"mmu05417","Lipid and atherosclerosis",172,17,28,0.704503732203731,0.00440322693362427
"mmu05418","Fluid shear stress and atherosclerosis",127,11,23,0.831385858405224,0.0024182850477597
