"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu05218","Melanoma",62,3,10,0.875476895776421,0.278011146237778
"mmu05219","Bladder cancer",39,4,5,0.368327714653299,0.581461492094236
"mmu05220","Chronic myeloid leukemia",75,4,6,0.851116505516233,0.935234527819818
"mmu05221","Acute myeloid leukemia",61,3,5,0.868388947505951,0.910576243849739
"mmu05222","Small cell lung cancer",89,7,16,0.556760900827599,0.107388860443416
"mmu05223","Non-small cell lung cancer",71,4,10,0.8196764391625,0.440095804429053
"mmu05224","Breast cancer",124,7,30,0.864977370061891,0.000448541556986457
"mmu05225","Hepatocellular carcinoma",152,14,24,0.308395197327316,0.176056845970234
"mmu05226","Gastric cancer",123,9,22,0.63828792827528,0.0711074553227059
"mmu05230","Central carbon metabolism in cancer",59,5,10,0.499370431040251,0.228106622258908
"mmu05231","Choline metabolism in cancer",92,9,15,0.297372455020554,0.206484103993059
"mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",77,8,11,0.257813442593907,0.413137599747133
"mmu05310","Asthma",13,0,3,1,0.231975736027966
"mmu05320","Autoimmune thyroid disease",34,5,4,0.124839730108197,0.658496465752926
"mmu05321","Inflammatory bowel disease",47,6,5,0.161270623027148,0.745679523080319
"mmu05322","Systemic lupus erythematosus",67,5,10,0.614501230759514,0.366885266451641
"mmu05323","Rheumatoid arthritis",69,16,10,6.87911112932256e-05,0.403448770252491
"mmu05330","Allograft rejection",33,5,4,0.113397587446131,0.634541608941072
"mmu05332","Graft-versus-host disease",34,5,4,0.124839730108197,0.658496465752926
"mmu05340","Primary immunodeficiency",22,6,2,0.00582219362253434,0.798167157647606
"mmu05410","Hypertrophic cardiomyopathy",81,8,12,0.304222781444313,0.355556279419598
"mmu05412","Arrhythmogenic right ventricular cardiomyopathy",70,5,9,0.653443505159076,0.563172145562006
"mmu05414","Dilated cardiomyopathy",83,5,14,0.791523371804054,0.18137461462502
"mmu05415","Diabetic cardiomyopathy",189,30,16,0.00016829711131183,0.979784430453089
"mmu05416","Viral myocarditis",66,7,9,0.260695686816763,0.488885911012234
"mmu05417","Lipid and atherosclerosis",172,20,26,0.0503298753488282,0.227091476338273
"mmu05418","Fluid shear stress and atherosclerosis",127,13,23,0.198542182965343,0.0589498264969312
