"","Length","Symbol"
"14088",4292,"Fancc"
"19206",4305,"Ptch1"
"76251",6045,"Ercc6l2"
"15487",1286,"Hsd17b3"
"70484",2276,"Slc35d2"
"238673",3490,"Zfp367"
"56541",2567,"Habp4"
"218294",5993,"Cdc14b"
"66503",1802,"1810034E14Rik"
"66129",972,"Prxl2c"
"13039",1971,"Ctsl"
"105278",1827,"Cdk20"
"68880",1097,"Fam240b"
"238680",4868,"Cntnap3"
"78124",3233,"Spata31"
"238683",3390,"Spata31d1c"
"218304",1170,"Prss47"
"66631",3472,"Mfsd14b"
"100042311",207,NA
"258816",927,"Or9s18"
"97895",3527,"Nlrp4f"
"100862013",589,NA
"100038683",1203,"Gm10775"
"170936",2869,"Zfp369"
"665738",1905,"Gm7762"
"544944",549,"Cbx3-ps5"
"628648",549,NA
"628794",522,NA
"628746",917,"Rybp-ps"
"628709",1890,"Zfp997"
"100861707",1632,NA
"76803",515,"Zfp998"
"100861733",1691,NA
"432768",579,NA
"67530",503,"Uqcrb"
"100038538",1652,"Ramacl"
"66410",1486,"Mterf3"
"19210",3424,"Ptdss1"
"71226",1061,"4933433G19Rik"
"78251",3970,"Zfp712"
"432769",2634,"Zfp708"
"432770",2981,"Rslcan18"
"268670",3482,"Zfp759"
"380855",2046,"Rsl1"
"218311",2712,"Zfp455"
"238690",2289,"Zfp458"
"100038627",3164,"F630042J09Rik"
"431706",2117,"Zfp457"
"218314",3909,"Zfp595"
"629016",4641,"Zfp953"
"408065",4079,"Zfp456"
"72807",2033,"Zfp429"
"328274",3331,"Zfp459"
"238692",2742,"Zfp874a"
"408067",1671,"Zfp874b"
"238693",2359,"Zfp58"
"170763",2710,"Zfp87"
"212276",4971,"Zfp748"
"100416706",4835,"Zfp729b"
"212281",5179,"Zfp729a"
"100862130",1261,NA
"408068",4504,"Zfp738"
"235907",3960,"Zfp65"
"68271",2908,"Zfp85os"
"22746",2218,"Zfp85"
"72958",3274,"Zfp493"
"320163",2987,"4930525G20Rik"
"212569",2321,"Zfp273"
"408058",598,"BC048507"
"666185",2884,"Gm7969"
"102402",1576,"AA414992"
"666272",1575,"Gm8016"
"210009",3692,"Mtrr"
"69577",2362,"Fastkd3"
"69315",1808,"Cfap90"
"210044",4211,"Adcy2"
"210106",3997,"Tent4a"
"210373",841,"A530095I07Rik"
"78925",2665,"Srd5a1"
"28114",4279,"Nsun2"
"76980",2682,"Ube2ql1"
"28077",862,"Med10"
"67550",2122,"4933416O17Rik"
"74280",1044,"1700084F23Rik"
"75086",505,"4930520P13Rik"
"73584",682,"1700100L14Rik"
"218333",7675,"Ice1"
"271127",4974,"Adamts16"
"77166",869,"8030423J24Rik"
"16371",2062,"Irx1"
"100503367",732,NA
"328287",5099,"Gm20554"
"16372",2463,"Irx2"
"78446",585,"D730050B12Rik"
"50916",2601,"Irx4"
"407785",567,"Ndufs6"
"94066",902,"Mrpl36"
"100504662",867,"Gm20338"
"432777",1306,"Eprn"
"210992",1605,"Lpcat1"
"13162",3456,"Slc6a3"
"218335",2378,"Clptm1l"
"21752",3426,"Tert"
"22598",4405,"Slc6a18"
"74338",2439,"Slc6a19"
"71390",1535,"Slc6a19os"
"20499",5131,"Slc12a7"
"72293",3222,"Nkd2"
"100862265",473,NA
"69716",2267,"Trip13"
"105246",2407,"Brd9"
"71164",1301,"Zdhhc11"
"72948",5090,"Tppp"
"74470",3632,"Cep72"
"105243",2490,"Slc9a3"
"211446",4596,"Exoc3"
"11624",4732,"Ahrr"
"18570",1524,"Pdcd6"
"66945",2859,"Sdha"
"67433",8615,"Ccdc127"
"432779",2746,"Lrrc14b"
"238722",1629,"Zfp72"
"100042547",1796,"Gm3897"
"235956",1383,"Zfp825"
"80898",4014,"Erap1"
"12380",2894,"Cast"
"18548",2516,"Pcsk1"
"751556",96,"Mir682"
"192657",3652,"Ell2"
"93692",1327,"Glrx"
"73296",4937,"Rhobtb3"
"75571",1053,"Spata9"
"218341",2906,"Rfesd"
"238725",2146,"Gpr150"
"77041",3657,"Arsk"
"218343",5381,"Skic3"
"238726",1434,"Fam81b"
"78771",4289,"Mctp1"
"105377",3742,"Slf1"
"72371",5633,"2210408I21Rik"
"382823",991,"Atp5c1-ps"
"68675",4070,"Arb2a"
"75507",1395,"Pou5f2"
"73093",4100,"3110006O06Rik"
"13865",2432,"Nr2f1"
"320174",2305,"A830082K12Rik"
"105171",4089,"Arrdc3"
"100043074",2220,"Gm4211"
"319983",1407,"9330111N05Rik"
"110789",19328,"Adgrv1"
"80289",3128,"Lysmd3"
"67486",3060,"Polr3g"
"72852",3881,"Mblac2"
"100502757",4628,"Gm17259"
"12626",1013,"Cetn3"
"100628621",59,"Mir3961"
"17260",6565,"Mef2c"
"100502774",419,NA
"320203",1368,"Mir9-2hg"
"723967",72,"Mir9-2"
"72677",1102,"2810049E08Rik"
"553095",531,"Gm17750"
"320919",2348,"A230107N01Rik"
"72745",2746,"Tmem161b"
"66671",1976,"Ccnh"
"218397",5101,"Rasa1"
"12867",449,"Cox7c"
"667230",483,"Gm8526"
"13612",5358,"Edil3"
"12950",5055,"Hapln1"
"13003",14689,"Vcan"
"100042940",2690,"Gm4117"
"108138",1547,"Xrcc4"
"66074",10809,"Tmem167"
"435376",1176,"Atp6ap1l"
"66475",555,"Rps23"
"66795",1609,"Atg10"
"100042959",1243,"Gm4130"
"320297",2807,"A830009L08Rik"
"66970",6656,"Ssbp2"
"373852",5617,"4833422C13Rik"
"74156",3049,"Acot12"
"69085",1532,"Zcchc9"
"76722",1486,"Ckmt2"
"19418",7235,"Rasgrf2"
"17686",3945,"Msh3"
"13361",5290,"Dhfr"
"218440",3940,"Ankrd34b"
"73942",1383,"Fam151b"
"218441",5451,"Zfyve16"
"79401",1602,"Spz1"
"218442",5319,"Serinc5"
"21828",3202,"Thbs4"
"382793",6275,"Mtx3"
"76469",11850,"Cmya5"
"100502942",907,"Gm4814"
"408254",2990,"A630019I02Rik"
"100715",1873,"Tent2"
"26556",5716,"Homer1"
"57748",8780,"Jmy"
"619883",348,"Gm6109"
"12116",2071,"Bhmt"
"64918",2090,"Bhmt2"
"74129",2979,"Dmgdh"
"105364",950,"AW495222"
"11881",3989,"Arsb"
"218454",4348,"Lhfpl2"
"107767",3588,"Scamp1"
"328309",2177,"Gm9776"
"11774",4020,"Ap3b1"
"21371",503,"Tbca"
"18420",1182,"Otp"
"218460",3063,"Wdr41"
"218461",4931,"Pde8b"
"100504102",1498,"Gm20064"
"72114",1894,"Zbed3"
"100316813",104,NA
"100217450",126,"Snora47"
"66549",3198,"Aggf1"
"12919",1681,"Crhbp"
"268686",300,"S100z"
"14063",2768,"F2rl1"
"14062",3296,"F2r"
"544963",5771,"Iqgap2"
"14064",2464,"F2rl2"
"75209",4252,"Sv2c"
"67463",3033,"Poc5"
"271144",3315,"Ankdd1b"
"27015",4226,"Polk"
"68018",5363,"Cert1"
"15357",4430,"Hmgcr"
"218476",5095,"Gcnt4"
"66479",1140,"1700029F12Rik"
"320557",4590,"Fam169a"
"59050",2686,"Nsa2"
"320806",5367,"Gfm2"
"15212",1905,"Hexb"
"13803",4743,"Enc1"
"100039691",3161,"Lncenc1"
"328314",1297,"Gm5086"
"403201",558,"5330416C01Rik"
"110596",6259,"Arhgef28"
"105372",4071,"Utp15"
"68558",1750,"Ankra2"
"218490",1129,"Btf3"
"100504225",1542,NA
"15229",2461,"Foxd1"
"70090",1186,"2310005E17Rik"
"68344",2252,"Tmem174"
"380863",1155,"Tmem171"
"218503",5119,"Fcho2"
"238799",5519,"Tnpo1"
"432798",447,NA
"69382",476,"H2bl1"
"69603",718,"2310020H05Rik"
"238803",2758,"Zfp366"
"68927",1675,"Ptcd2"
"218506",1848,"Mrps27"
"320893",1721,"6430562O15Rik"
"17755",11852,"Map1b"
"27220",874,"Cartpt"
"78038",2124,"Mccc2"
"544971",9921,"Bdp1"
"20365",589,"Serf1"
"20595",1404,"Smn1"
"17948",4823,"Naip2"
"17951",5293,"Naip5"
"17952",6705,"Naip6"
"17940",5361,"Naip1"
"100862307",951,NA
"23894",1707,"Gtf2h2"
"18260",3192,"Ocln"
"218518",3382,"Marveld2"
"19356",2847,"Rad17"
"108143",2126,"Taf9"
"76041",2705,"Ccdc125"
"12572",7598,"Cdk7"
"66128",716,"Mrps36"
"26886",1239,"Cenph"
"268697",2316,"Ccnb1"
"69048",3179,"Slc30a5"
"544973",411,"Gm10257"
"619937",648,"Hmgb1-ps10"
"328324",2439,"5930438M14Rik"
"71174",1285,"4933416M06Rik"
"78136",405,"4922502H24Rik"
"18708",7380,"Pik3r1"
"17079",2326,"Cd180"
"328329",10671,"Mast4"
"76624",677,"1700099I09Rik"
"621312",932,"Gm6211"
"432800",1455,"Gm5454"
"218543",4063,"Srek1"
"59079",6592,"Erbin"
"75805",3780,"Nln"
"218544",2716,"Sgtb"
"66975",4833,"Trappc13"
"81003",4258,"Trim23"
"238831",2367,"Ppwd1"
"60411",1832,"Cenpk"
"108154",4822,"Adamts6"
"667518",407,"Gm8680"
"67285",1884,"Cwc27"
"67288",1688,"Srek1ip1"
"77803",1310,"Shisal2b"
"52882",5828,"Rgs7bp"
"66763",2157,"Nt5el"
"71816",3785,"Rnf180"
"15550",4441,"Htr1a"
"76582",4282,"Ipo11"
"100504500",997,NA
"66254",2545,"Dimt1"
"16563",4208,"Kif2a"
"100040322",1898,"3830408C21Rik"
"621156",605,"Apoo-ps"
"105120",5610,"AI197445"
"72257",622,"1700006H21Rik"
"67263",5458,"Zswim6"
"75616",1864,"Smim15"
"75597",680,"Ndufaf2"
"71991",2107,"Ercc8"
"74559",5439,"Elovl7"
"218581",2530,"Depdc1b"
"238871",7049,"Pde4d"
"100862401",2397,NA
"100124489",81,"Mir582"
"100316683",80,"Mir1904"
"67295",8500,"Rab3c"
"100504609",444,NA
"238875",2055,"Gapt"
"20620",2802,"Plk2"
"73129",938,"3110015C05Rik"
"238880",2737,"Actbl2"
"73274",3624,"Gpbp1"
"100504654",415,"Gm10736"
"218613",5277,"Mier3"
"26401",6963,"Map3k1"
"100504675",1799,"Gm15327"
"77318",3577,"Ankrd55"
"16195",5452,"Il6st"
"218624",3680,"Il31ra"
"13206",2849,"Ddx4"
"268706",8913,"Slc38a9"
"19012",1536,"Plpp1"
"72198",3309,"Mtrex"
"218629",4098,"Dhx29"
"218630",1876,"Ccno"
"622408",2354,"Mcidas"
"735309",109,"Mir449c"
"100190765",80,"Mir449b"
"723868",91,"Mir449a"
"100038414",2943,"Gm10735"
"69590",1016,"Gpx8"
"238896",1704,"Cdc20b"
"14938",878,"Gzma"
"14945",792,"Gzmk"
"71690",2103,"Esm1"
"408066",8162,"Cspg4b"
"70917",2567,"4921509O07Rik"
"100861641",604,NA
"170625",4447,"Snx18"
"56534",781,"Hspb3"
"218639",3361,"Arl15"
"319803",3687,"A430090L17Rik"
"17993",1534,"Ndufs4"
"14313",2337,"Fst"
"75161",1412,"4930544M13Rik"
"17434",1889,"Mocs2"
"16398",4218,"Itga2"
"109700",5984,"Itga1"
"105083",1572,"Pelo"
"670198",1269,"Gm10734"
"100038421",958,"Gm10733"
"623174",354,"Rpl34-ps2"
"16392",2526,"Isl1"
"52552",3088,"Parp8"
"623312",1622,"Gm6416"
"13723",2622,"Emb"
"100861680",606,NA
"15165",7911,"Hcn1"
"71100",922,"4933413L06Rik"
"59054",1590,"Mrps30"
"75890",994,"1700003P14Rik"
"14165",4572,"Fgf10"
"18115",3526,"Nnt"
"218693",4709,"Paip1"
"67392",2700,"4833420G17Rik"
"791300",2659,"Gm9752"
"67304",1128,"3110070M22Rik"
"633640",2318,"Tmem267"
"56838",3740,"Ccl28"
"73480",547,"1700074H08Rik"
"208715",3283,"Hmgcs1"
"245269",4103,"Nim1k"
"72465",2965,"Zfp131"
"100040377",1236,NA
"380878",886,"Tcstv7a"
"52673",831,"Tcstv6a"
"54382",857,"Tcstv1a"
"333467",925,"Tcstv5a"
"673151",1658,"Gm20784"
"100861977",1664,"Gm21370"
"100861753",1669,"Anxa2r1"
"100861986",1596,"Gm21378"
"639910",1426,"Tcstv2c"
"236546",881,"Tcstv2a"
"100038937",708,NA
"638189",506,NA
"625360",1659,"Tcstv4"
"236219",878,"Tcstv3"
"100040657",657,"Gm2888"
"100040671",2174,"Gm2897"
"100040682",865,"Esd-ps"
"544990",957,"Gm5795"
"320333",1413,"D830030K20Rik"
"73549",1702,"1700110I01Rik"
"100040697",780,"Gm10340"
"100862064",742,NA
"100038846",993,NA
"666890",1990,NA
"100041840",1573,"Gm10408"
"100862069",742,NA
"100040859",706,NA
"100040870",967,"Gm3005"
"100040880",858,"Gm3020"
"100040923",657,"Gm3043"
"100040852",5217,"Gm3002"
"100040897",1206,"Gm3029"
"100041012",865,"Gm3095"
"100041019",759,"Gm3099"
"545007",1815,"Gm5796"
"100041054",615,"Gm3115"
"623078",780,"Gm8108"
"100041076",615,"Gm3127"
"100041119",977,"Gm3149"
"554327",1885,"2610042L04Rik"
"100041139",1022,"Gm3159"
"100041177",615,"Gm3182"
"100169868",1376,"Gm3173"
"100040928",732,"Gm3047"
"666549",1239,"Gm8159"
"100041262",780,"Gm3239"
"665981",615,NA
"100041283",766,"Gm3252"
"673676",666,"Gm9602"
"100041317",615,"Gm3269"
"100041306",519,"Gm3264"
"100041336",657,"Gm3278"
"666800",1206,"Gm8297"
"100041374",732,"Gm3298"
"108978",2065,"4930555G01Rik"
"666772",660,"Gm8281"
"666765",615,"Gm8279"
"666329",519,"Gm3317"
"666750",657,"Gm8271"
"100041678",875,"Gm3500"
"100036571",1146,NA
"100036572",1465,"LOC100036572"
"666706",615,"Gm8246"
"100041184",708,NA
"100041825",657,"Gm3532"
"100036568",2738,"Gm3373"
"100041515",780,"Gm3383"
"622931",1294,"Gm10021"
"100041598",615,"Gm3424"
"100041279",618,"Gm3248"
"100041651",765,"Gm3453"
"622640",615,"Gm6337"
"100042054",800,"Gm3194"
"100041702",1146,"Gm3476"
"100862207",759,NA
"100861615",2277,"Gm3411"
"100861646",980,NA
"100861657",1674,NA
"544998",657,"Gm16440"
"100041958",1155,"Lamtor3l"
"100041964",615,"Gm3594"
"100042024",732,"Gm3629"
"100041664",618,"Gm3460"
"100504200",657,"Gm8050"
"100041151",684,"Gm3636"
"666918",918,"Gm8362"
"100504413",522,NA
"100504218",618,NA
"100042100",1410,"Gm3667"
"100038847",1955,"Gm10406"
"100042129",849,"Gm3685"
"100042149",2139,"Gm3696"
"626456",732,NA
"100042182",732,"Gm16434"
"100042217",615,NA
"100042235",795,"Gm3739"
"545013",997,"Gm5797"
"68308",1293,"4933406F09Rik"
"100041874",2149,"Gm3558"
"100042304",695,"Gm38418"
"218695",1124,"Gm10044"
"286940",9067,"Flnb"
"13421",3702,"Dnase1l3"
"66082",2018,"Abhd6"
"67053",2467,"Rpp14"
"218699",2840,"Pxk"
"68263",1485,"Pdhb"
"71393",1649,"Kctd6"
"93732",2628,"Acox2"
"100861833",907,NA
"268709",3144,"Fam107a"
"100504681",476,NA
"18300",1251,"Fam3d"
"74430",2751,"Cfap20dc"
"74859",1097,"4930455B14Rik"
"100041948",920,"Gm9800"
"14198",987,"Fhit"
"100042415",2774,"Mnd1-ps"
"19270",9190,"Ptprg"
"218734",2477,"Cep15"
"54713",2304,"Fezf2"
"27062",5529,"Cadps"
"328354",1921,"Gm5087"
"72003",2946,"Synpr"
"218739",1240,"Sntn"
"238939",2135,"Cdhr18"
"66231",1148,"Thoc7"
"246103",6853,"Atxn7"
"66413",1296,"Psmd6"
"258387",951,"Or2t6"
"18330",954,"Or2t1"
"16188",1394,"Il3ra"
"218756",7389,"Slc4a7"
"674895",3348,"Nek10"
"218763",1662,"Lrrc3b"
"71147",3752,"Oxsm"
"59007",2901,"Ngly1"
"21974",5633,"Top2b"
"218772",2775,"Rarb"
"21834",6555,"Thrb"
"353187",4640,"Nr1d2"
"66480",1841,"Rpl15"
"69721",4592,"Nkiras1"
"22194",1386,"Ube2e1"
"100861885",364,NA
"218793",1374,"Ube2e2"
"100039452",657,"Gm2244"
"432825",1004,"Gm5458"
"18074",4884,"Nid2"
"68045",1510,"Rtraf"
"14702",3826,"Gng2"
"67509",2304,"Saysd1"
"16529",3364,"Kcnk5"
"74571",879,"Kcnk16"
"67725",2523,"Nudt13"
"70601",3125,"Ecd"
"105428",3149,"Fam149b"
"100504266",669,"Gm20140"
"108671",1631,"Dnajc9"
"66242",566,"Mrps16"
"76670",3800,"Cfap70"
"11750",2965,"Anxa7"
"74843",1829,"Mss51"
"19056",3881,"Ppp3cb"
"75602",751,"1810062O18Rik"
"78787",6495,"Usp54"
"100504278",1046,"2810402E24Rik"
"59011",1294,"Myoz1"
"68760",3922,"Synpo2l"
"218811",4515,"Sec24c"
"73068",3344,"Fut11"
"76133",1088,"6230400D17Rik"
"66121",595,"Chchd1"
"268721",6073,"Zswim8"
"17423",3907,"Ndst2"
"12325",3703,"Camk2g"
"18792",2343,"Plau"
"22330",5229,"Vcl"
"55946",4424,"Ap3m1"
"11534",1952,"Adk"
"54169",7337,"Kat6b"
"435391",1103,"Dusp29"
"27389",1963,"Dusp13b"
"67630",6997,"Samd8"
"22334",1662,"Vdac2"
"69156",2241,"Comtd1"
"319486",2176,"A430057M04Rik"
"100861834",912,NA
"218820",4213,"Zfp503"
"76633",911,"Lrmda"
"74896",976,"4930405A10Rik"
"791307",2731,"Gm10248"
"268723",2791,"A830039N20Rik"
"16531",7827,"Kcnma1"
"620499",714,"Gm6158"
"71228",7853,"Dlg5"
"105418",1492,"E330034G19Rik"
"218832",4683,"Polr3a"
"20088",875,"Rps24"
"70955",986,"4931403M11Rik"
"75862",774,"4930572O13Rik"
"432830",608,"Gm17747"
"328365",7525,"Zmiz1"
"100526533",85,"Mir3075"
"77592",3858,"4931406H21Rik"
"105675",1549,"Ppif"
"68173",1777,"Ppifos"
"74272",868,"1700054O19Rik"
"71918",4375,"Zcchc24"
"11744",2395,"Anxa11"
"211623",451,"Plac9"
"66039",2355,"Tmem254"
"105594",1653,"Cphx1"
"278672",2010,"Duxbl1"
"100039484",870,NA
"100039175",1547,NA
"100039192",1732,NA
"100039213",1660,NA
"100039227",2334,NA
"100039503",870,NA
"100039246",1122,NA
"100039257",1732,NA
"100039280",1714,NA
"100039293",2334,NA
"71106",3387,"4933413J09Rik"
"83997",4501,"Slmap"
"100039353",357,"Gm2178"
"211922",5432,"Dennd6a"
"11843",2042,"Arf4"
"211948",3529,"Pde12"
"110083",10638,"Dnah12"
"142687",2101,"Asb14"
"72993",6961,"Appl1"
"15209",1138,"Hesx1"
"171463",8220,"Il17rd"
"665333",853,"Gm7591"
"71704",3585,"Arhgef3"
"218850",7577,"Tasor"
"320234",2951,"Ccdc66"
"238988",6083,"Erc2"
"100502956",629,"Gm19471"
"100504469",1855,"Gm20242"
"22418",4373,"Wnt5a"
"12294",3695,"Cacna2d3"
"319476",7318,"Lrtm1"
"80795",1018,"Selenok"
"56249",2121,"Actr8"
"50905",2061,"Il17rb"
"218865",5891,"Chdh"
"12289",9252,"Cacna1d"
"75901",5616,"Dcp1a"
"21881",3207,"Tkt"
"100526475",60,"Mir3076"
"18753",2775,"Prkcd"
"328370",2372,"Rft1"
"54650",8122,"Sfmbt1"
"69179",3738,"Stimate"
"66175",1179,"Mustn1"
"16427",3145,"Itih4"
"16426",2819,"Itih3"
"16424",3077,"Itih1"
"23955",2714,"Nek4"
"69019",1006,"Spcs1"
"76485",2521,"Glt8d1"
"30877",1884,"Gnl3"
"100217431",59,"Snord69"
"100217423",54,"Snord19"
"66923",8117,"Pbrm1"
"66487",403,"Uqcc5"
"70021",1410,"Nt5dc2"
"192187",7995,"Stab1"
"100861939",591,NA
"64652",5586,"Nisch"
"21924",703,"Tnnc1"
"218877",3686,"Sema3g"
"71838",1984,"Phf7"
"104416",3406,"Bap1"
"110084",12872,"Dnah1"
"12339",3562,"Capn7"
"24056",2482,"Sh3bp5"
"67011",1905,"Mettl6"
"74427",4238,"Eaf1"
"382864",2835,"Colq"
"56794",2618,"Hacl1"
"26363",1942,"Btd"
"105522",5229,"Ankrd28"
"320621",3897,"D830044D21Rik"
"78754",2341,"Galnt15"
"105638",3016,"Dph3"
"218885",2062,"Oxnad1"
"17695",522,"Msmb"
"27057",3577,"Ncoa4"
"53600",1162,"Timm23"
"26430",4391,"Parg"
"239017",3449,"Ogdhl"
"67085",398,"1700024G13Rik"
"12647",2810,"Chat"
"20508",2414,"Slc18a3"
"319955",8422,"Ercc6"
"320321",2780,"9430077A04Rik"
"107751",1550,"Drgx"
"100504518",5547,"3425401B19Rik"
"69069",1473,"Tmem273"
"105511",1694,"Fam170b"
"320736",2743,"Vstm4"
"545030",9681,"Wdfy4"
"67580",2717,"Lrrc18"
"622657",237,NA
"239027",2598,"Arhgap22"
"100862308",2257,NA
"26419",5756,"Mapk8"
"268729",4113,"Frmpd2"
"19256",3090,"Ptpn20"
"14560",2512,"Gdf10"
"12165",2988,"Gdf2"
"19661",5276,"Rbp3"
"382867",4301,"Zfp488"
"432838",1903,"Gm5460"
"105518",1338,"A630023A22Rik"
"239029",2126,"Antxrl"
"11752",1871,"Anxa8"
"19065",1903,"Npy4r"
"432839",1601,"Gprin2"
"319508",4184,"Syt15"
"75698",3454,"Shld2"
"14661",3158,"Glud1"
"100041231",632,"Gm3219"
"69134",367,"Fam25a"
"20618",732,"Sncg"
"105450",3935,"Mmrn2"
"12166",5332,"Bmpr1a"
"78243",778,"9230112D13Rik"
"24131",6016,"Ldb3"
"30044",2869,"Opn4"
"218914",4585,"Wapl"
"14803",3428,"Grid1"
"723847",98,"Mir346"
"239036",1162,"4930596D02Rik"
"218921",839,"4930474N05Rik"
"72972",7540,"Ccser2"
"57811",1659,"Rgr"
"239037",4317,"Lrit1"
"239038",2781,"Lrit2"
"170677",4304,"Cdhr1"
"70045",756,"Gpr15lg"
"66092",3081,"Ghitm"
"18183",4036,"Nrg3"
"75170",927,"Nrg3os"
"100503038",2706,"Gm19521"
"73591",396,"1700109I08Rik"
"328381",1296,"Sh2d4b"
"52588",2476,"Tspan14"
"100503457",841,"Gm19703"
"70564",1537,"Prxl2a"
"71200",592,"Dydc2"
"69496",995,"Dydc1"
"11720",3208,"Mat1a"
"20387",2775,"Sftpa1"
"17194",923,"Mbl1"
"20390",1326,"Sftpd"
"666186",504,"Gm7970"
"100041722",613,"1700049E17Rik2"
"100042114",654,"Gm3676"
"666376",504,"Gm8068"
"666207",504,"Gm7980"
"666214",613,"1700049E17Rik1"
"100503856",844,"1700024B05Rik"
"73553",912,"1700091H14Rik"
"666233",606,"Gm7995"
"100040771",759,"Gm2959"
"666253",873,"Gm8005"
"666298",636,NA
"100504358",672,NA
"100042055",847,"Gm10377"
"100504444",504,"Gm21977"
"100042130",555,"Gm10376"
"666420",672,"Gm8094"
"100041106",1566,"Gm3141"
"666485",504,"Gm8127"
"71826",883,"1700001F09Rik"
"666502",549,NA
"100861719",549,"Gm21162"
"100042342",836,"Gm10375"
"666561",672,"Gm8165"
"13586",713,"Ear1"
"53877",462,"Ear4"
"93725",471,"Ear10"
"503844",708,"Ang5"
"630952",444,"Ang6"
"13587",716,"Ear2"
"74954",1289,"4930503E14Rik"
"666647",621,"Gm8212"
"666660",792,"Gm8220"
"666675",792,"Gm8229"
"666678",672,"Gm8232"
"385138",899,"BC061237"
"666723",792,"Gm8256"
"666744",1240,"Gm8267"
"19214",3187,"Ptgdr"
"100124437",69,"Mir327"
"73895",2282,"4930431P03Rik"
"19217",3768,"Ptger2"
"70561",4028,"Txndc16"
"70713",2444,"Gpr137c"
"50527",4418,"Ero1a"
"100503256",404,NA
"67089",1564,"Psmc6"
"100504523",569,"Gm20266"
"56291",4258,"Styx"
"54342",2536,"Gnpnat1"
"218952",3243,"Fermt2"
"67651",735,"4930527F14Rik"
"114874",5198,"Ddhd1"
"100628600",93,"Mir5131"
"320367",2557,"A530076I17Rik"
"666834",504,"Gm8317"
"218963",703,"Ubb-ps"
"100041724",676,"Gm15217"
"12159",1994,"Bmp4"
"100502795",693,NA
"72391",773,"Cdkn3"
"12793",1484,"Cnih1"
"63985",4171,"Gmfb"
"328388",2919,"Gm10101"
"68755",1202,"Cgrrf1"
"74480",7422,"Samd4"
"14528",2764,"Gch1"
"218973",4174,"Wdhd1"
"67296",2154,"Socs4"
"218975",4493,"Mapk1ip1l"
"16854",1406,"Lgals3"
"218977",4642,"Dlgap5"
"78938",3634,"Fbxo34"
"100504663",3451,"Atg14"
"16709",4485,"Ktn1"
"73961",825,"4930447J18Rik"
"93834",5849,"Peli2"
"624367",1599,"Gm6498"
"218989",5218,"Tmem260"
"18424",1737,"Otx2"
"606497",743,"Otx2os1"
"100041864",684,"Gm3552"
"66770",1629,"4933429O19Rik"
"218993",1115,NA
"105504",4659,"Exoc5"
"74385",3165,"Ap5m1"
"70646",4597,"Naa30"
"67082",1167,"Ccdc198"
"75288",1881,"Slc35f4"
"67419",2748,"Armh4"
"258487",1582,"Or4n5"
"259147",1006,"Or4l1"
"258485",1006,"Or4l15"
"100041975",219,NA
"258314",1110,"Or4k15b"
"258313",966,"Or4k15c"
"258316",1035,"Or4k15"
"258039",936,"Or4k1"
"258275",972,"Or4k5"
"258486",957,"Or4k2"
"258360",981,"Or4k6"
"258659",1044,"Or4n4"
"258657",994,"Or4n4b"
"258658",942,"Or4m1"
"257909",1065,"Or4q3"
"239081",3162,"Tlr11"
"258660",939,"Or11j4"
"258662",936,"Or11g1"
"258663",930,"Or11g24"
"258661",936,"Or11g7"
"258233",1144,"Or11g25"
"73889",600,"4930413M19Rik"
"258422",1120,"Or11g26"
"219019",936,"Or11g27"
"257884",972,"Or11g2"
"258296",1175,"Or11h6"
"258295",945,"Or11h7"
"258264",955,"Or11h4b"
"258113",924,"Or11h23"
"56858",1021,"Or11h4"
"219022",3653,"Ttc5"
"239083",1508,"Ccnb1ip1"
"85029",325,"Rpph1"
"11546",1788,"Parp2"
"21745",8163,"Tep1"
"546611",1602,"Klhl33"
"328399",2046,"A930018M24Rik"
"66246",1608,"Osgep"
"11792",1307,"Apex1"
"219024",2753,"Pip4p1"
"18950",2941,"Pnp"
"667034",1223,"Pnp2"
"75019",1665,"Rnase10"
"328401",1187,"Rnase9"
"497113",579,"Rnase11"
"497106",438,"Rnase12"
"404319",1132,"Or6s1"
"11727",1275,"Ang"
"58809",1996,"Rnase4"
"219026",1257,"Eddm3b"
"78416",1072,"Rnase6"
"19752",970,"Rnase1"
"54159",759,"Rnase2b"
"11731",438,"Ang2"
"503847",462,"Ear14"
"93726",691,"Rnase2a"
"75377",1140,"4930597G03Rik"
"638695",1157,"Gm7247"
"669149",2574,"Vmn2r88"
"22301",2942,"Vmn2r89"
"434459",1581,"Gm5622"
"545047",851,"Gm5800"
"219033",695,"Ang4"
"278676",1461,"AY358078"
"93719",713,"Ear6"
"52535",1623,"Mettl17"
"214922",2334,"Slc39a2"
"29811",2157,"Ndrg2"
"219038",628,"Tppp2"
"497071",614,"Rnase13"
"268739",5643,"Arhgef40"
"100502764",713,"Gm16617"
"69890",3317,"Zfp219"
"619301",1227,"Tmem253"
"258420",936,"Or5au1"
"15381",2844,"Hnrnpc"
"77945",5213,"Rpgrip1"
"114741",4491,"Supt16"
"67772",8190,"Chd8"
"100217445",99,"Snord8"
"100861840",254,NA
"76338",2756,"Rab2b"
"268741",4458,"Tox4"
"56335",2021,"Mettl3"
"50524",5336,"Sall2"
"258008",942,"Or10g3b"
"258424",942,"Or10g3"
"258268",957,"Or10g1b"
"258423",1039,"Or10g1"
"627171",332,"Trav1"
"57271",1010,"Or4e2"
"57270",1868,"Or4e1"
"57269",1679,"Or4e5"
"100042372",330,"Trav2"
"667441",417,"Trav3-1"
